RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
102001,0,United States,country,,1144.2751978003732,1149.5218676808818,1155.2101359522605,1159.8658957965965,1164.000349333597,1167.8824281926047,1172.324319966721,1177.263573111055,1182.4255867307365,1187.4406643157536,1192.1868269727572,1196.5260270165704,1200.0468791592473,1203.0121591808208,1204.8744843602933,1208.2117792540482,1211.7644249071864,1216.3944509314235,1219.9907327910062,1223.798055459289,1227.3288391767094,1231.056646161299,1234.318973980666,1237.5091659260847,1242.1325238491306,1247.54180548784,1254.1748025317552,1259.0314622165852,1263.7166169078703,1267.462448597635,1271.3771248562844,1274.7326624549323,1279.2533197529456,1283.0330044789546,1287.5069289267312,1291.9187916186102,1296.7569755984432,1301.678822625516,1305.7295931067017,1309.9574968552097,1313.482944754194,1317.7475404395957,1322.2512461777114,1327.199240990291,1331.2340266238234,1336.2940314469001,1341.7974816258127,1347.218347239309,1351.1638305825084,1354.4400204240228,1358.5203223949975,1363.1139842927446,1368.3634127155028,1373.3151329241944,1378.220924358626,1383.0157603381454,1388.0030272065255,1392.540515072818,1396.5214513726144,1400.6679271394325,1405.5306709989718,1410.7755610444096,1415.0182356379858,1413.2586999419632,1409.4407519989809,1406.1469186833476,1406.9810245406447,1407.4181164335967,1408.3328383482215,1411.8005310543394,1417.2924881143622,1424.5000841234926,1434.2878028783455,1444.8323369764119,1456.5136521512388,1471.3065772868495,1490.6408946420815,1513.322475952474,1536.640890234875,1561.920171313846,1587.1340067819756,1608.7294223186293,1627.2317299644124,1643.472024857719,1657.0508453927666,1670.45365308862,1681.6620865161622,1696.5074723647779,1709.7622459504298,1723.419989683227,1733.448301476604,1740.642169126553,1745.682569027258,1749.6993457019298,1754.136059729147,1759.4928130119422,1764.7939811385331,1770.0204474215473,1777.5775155697315,1782.4646518194625,1787.2887293052931,1787.9988630169619,1791.2339941308335,1794.6396117222612,1798.584623152067,1803.242208030122,1807.6066063366868,1812.6086248066038,1817.7366302973728,1822.6344990563628,1826.5895552213813,1830.8737164909246,1835.4049532858812,1840.5838858625707,1845.168555964583,1849.1736100888193,1853.2279181500319,1857.0591471878602,1862.2467143022195,1866.6546888743042,1871.5949126572846,1875.4768296434308,1879.183243732852,1882.5862722991583,1885.554923499688,1889.4156702846171,1892.8252913345896,1896.677908958902,1900.2249912681177,1903.4690482201117,1905.379186642114,1907.0227637164678,1907.8714046324521,1909.2544429162256,1910.4249941685812
394913,1,"New York, NY",msa,NY,2189.8225130543237,2204.383986137901,2217.67686666573,2226.7153334047207,2230.4105953786175,2234.328952386609,2239.2828475007254,2247.642444426978,2255.706362422368,2263.6556183043845,2267.516344771884,2272.2900019327235,2275.4985527522267,2279.042029523892,2279.908154867944,2281.7340147703744,2285.008941616143,2289.2836252490874,2295.2976079324612,2298.057347292509,2302.4454749280985,2306.7025494410736,2316.0725056211936,2319.3685558803195,2322.2609206758925,2321.969274924901,2325.8931960857585,2328.943976720225,2334.1404103135305,2336.6878002328617,2339.8265567623152,2341.051892129501,2344.1702776641037,2343.6720238888556,2344.1154118147088,2346.315445555374,2351.4499461345,2356.3568545640132,2360.972878127285,2368.061193844939,2372.9762302187964,2377.3645602324755,2381.787928931562,2389.3910398602084,2395.8614109708224,2400.842430826242,2407.621428464056,2413.2250281041074,2419.5577024338245,2425.594620920412,2431.6876616075,2436.494157884012,2442.0906012312403,2449.4474918600213,2456.439941511688,2462.7565873697795,2469.038392730091,2478.5506244109906,2485.6486103521893,2494.334119564998,2501.503174981906,2510.0335533025436,2501.5709795354596,2485.8921152226267,2459.0053533520004,2425.3739743809724,2392.002345277431,2349.5127353843145,2311.290967220802,2286.6585462326584,2274.5364270978785,2273.779658970434,2277.3592199865598,2285.0967391469303,2296.080371427655,2313.583841323024,2342.3341322379215,2379.75598793417,2426.109922837372,2482.03799943463,2539.561895849873,2590.573479589476,2636.1068893698725,2673.561531180554,2705.392391652708,2732.5053087152114,2758.690571425269,2785.607559867283,2814.6610543955653,2845.5942458458967,2873.3344042903364,2894.9904042341714,2908.9921969846,2917.5399499209,2921.2575612963165,2925.479635646811,2933.1485238804576,2943.5309352554536,2956.942891018238,2973.244025127155,2987.5211546075348,2995.1194073609768,2999.554990523004,3004.941855177096,3016.072373294531,3025.399659717738,3034.4957582382244,3044.3926051822755,3057.9113706965345,3071.457723613068,3084.124554623457,3094.7505569205873,3104.965297366203,3112.0653364113077,3114.519416063183,3117.199312554371,3122.463014024547,3133.328308407045,3151.8788971470035,3168.7662278021344,3186.1663588788574,3196.443545432162,3206.3027235335244,3216.0000542943335,3225.386658761886,3239.1570003724246,3257.982367017183,3276.566822774818,3291.2423408900163,3303.1857656035118,3309.774726181458,3316.856215361249,3320.6196332558275,3329.028647346038,3337.13988779536
753899,2,"Los Angeles, CA",msa,CA,1759.7028477050883,1769.2588435895495,1780.444566270806,1790.6268334148035,1798.9340310423486,1806.619263070173,1816.2271620879944,1827.032800544993,1839.4173033259776,1849.9686273619493,1861.977996684204,1873.633826657649,1884.4381566605427,1891.8192363955109,1897.320404960474,1903.748163724332,1912.332565098319,1922.544155021345,1932.300336515951,1939.8338727719965,1947.8174171960034,1955.2946549532744,1963.3266786829606,1970.8796022726403,1983.2568534598845,1996.4620036222414,2013.1201148392076,2023.7722233341292,2033.3919234838115,2039.7662954191615,2047.5860486242684,2054.192379067414,2062.6118024541183,2069.256039033765,2077.996458091502,2086.29000589072,2096.070833301139,2106.62788790507,2111.807185061423,2117.8468481589007,2122.01608849657,2131.461259460845,2139.7484042382994,2149.772710122919,2157.101345599911,2166.452735906156,2175.2385267814466,2183.6144551420957,2187.702318277857,2191.3117133151463,2197.679588132456,2206.1280424359707,2215.948124755297,2222.7257189684065,2229.423619349982,2235.5609999072385,2242.420967103061,2248.5176752811903,2253.6075664926893,2259.181267896072,2266.1549207060375,2272.856720488895,2268.4964756977815,2260.329209291867,2251.89279440893,2244.0557661153234,2239.605832867585,2233.143404418493,2231.332634212417,2235.3060761577153,2242.4109457509294,2248.052921799997,2259.144441910063,2270.092472841122,2283.4795812313314,2296.466814729493,2315.761979557288,2345.107469797018,2380.672355185945,2423.5346902093593,2460.966746708159,2491.473423035142,2515.042395799748,2541.1141316224675,2563.1746018024314,2587.8896607062916,2609.2286394535463,2638.0111230493744,2660.2571150953154,2677.8297764071394,2686.756505593609,2692.1341131452928,2696.8334529903286,2700.221289318789,2707.465456660512,2711.9046293922584,2714.244560607013,2716.176879832795,2723.77210434087,2732.3584430429755,2739.14031139856,2741.1272523540624,2746.7525605874757,2751.673305183064,2755.6781626496404,2761.0807137120973,2763.852126991804,2770.1329441544185,2773.359908524464,2777.81818793941,2780.1133312886536,2787.6609841300747,2795.39694700372,2803.6062474966548,2811.6147291067755,2817.4436809130702,2824.4521854575205,2829.4356960467576,2835.9822550735435,2840.862035827363,2856.002719466146,2869.043097102221,2878.5603927325637,2880.06476732746,2882.6448958453816,2887.025593707558,2890.5446324677027,2895.7209098034577,2899.8297876994557,2904.3036643083524,2907.2056801510566,2909.0137145750455,2903.8265575231703,2898.5570897197044,2894.901157378155
394463,3,"Chicago, IL",msa,IL,1383.3590086645956,1385.1451406930375,1389.3121637283887,1393.4918883115395,1397.7770470352375,1401.0767814920678,1403.8899223887063,1407.8392062732946,1411.1653797253298,1415.756549743462,1420.1199637731875,1425.6304018364297,1429.7970264494552,1432.4612536156824,1434.4641291873695,1435.4027561449184,1437.4410582841049,1440.046017172163,1445.0058161671975,1450.9456205486965,1453.7647965871195,1456.784761919309,1456.4422130789187,1456.065280929438,1457.6212207442738,1463.5256531698788,1471.6418046678941,1477.5147877295497,1481.82882525471,1483.4045232872409,1484.642372482603,1484.2169049600477,1488.6449932054913,1490.6089464787647,1495.0296285955708,1498.2085640620105,1502.073476253199,1505.765000137309,1506.8409301856345,1509.095818505201,1511.473173751929,1516.6079902203564,1521.0882404127187,1523.7247473296707,1523.7910467124498,1525.2727661548213,1529.5742399903997,1536.7480213047663,1540.7059414984728,1543.0596271922498,1546.1276799039676,1549.6661166981053,1553.746165003306,1556.9849389979006,1560.534674181418,1566.1553915454567,1572.101981894668,1578.1539859102716,1581.5732598462953,1583.4326238180772,1587.1876240738543,1591.5410996495773,1595.6359224474738,1587.4969239786403,1578.3449711168462,1570.705097090105,1568.220293652999,1566.3011951059582,1561.9104361441,1556.1773295024125,1552.5641357703037,1553.4308657269082,1554.7151125356536,1559.4715880615233,1565.4863099033525,1580.294834056244,1596.2701403553112,1614.075597116796,1629.1917395071775,1644.1214188293482,1660.7476361897604,1675.424627415114,1690.5209306948918,1704.1100168552757,1717.2513119164291,1727.4637948692116,1738.147635280113,1750.6105020593006,1763.8021532910868,1774.8194406918267,1786.1786889665468,1796.0850020670612,1806.874434047214,1817.8876426526028,1827.4648843689147,1836.0641086240823,1843.854120708333,1853.2795591779923,1863.0456875885063,1870.1091127775323,1879.3080540465176,1887.5013149728343,1896.1461104527586,1905.610331172651,1912.426006284204,1919.581125489587,1926.5218259153578,1936.7623340208224,1946.201172710083,1954.694653241268,1960.5597102831614,1968.2347405534983,1974.2514054700152,1981.5862957525123,1988.7934745697141,1996.8858169067848,2006.2822595407429,2018.050256364345,2030.277484329935,2041.5690556793093,2049.473843092008,2058.643278927499,2067.664283162063,2078.5295791999833,2089.256968011319,2099.808096660176,2110.193483380158,2119.7042621910928,2129.20130448824,2136.5707310575244,2143.958787239883,2150.636065195347,2160.515762924502,2169.5376061980796,2179.817593148377
394514,4,"Dallas, TX",msa,TX,1057.4527741981312,1060.9873198981736,1064.7098658556488,1070.9617271730988,1075.33884466579,1080.3057091176063,1084.8164441248393,1089.2835517104365,1094.2147086885914,1098.4224602098063,1103.713701998029,1108.8974121477127,1112.5865950226566,1117.1402033885397,1120.6708989547453,1125.8096068462446,1129.1282766372387,1133.2948994909123,1136.9002939714642,1141.7965529121975,1146.2411788428399,1151.7440494924588,1154.9234729384104,1158.8096987425763,1164.8305690371108,1169.604667408863,1176.9838806254793,1180.6230339762835,1188.237697652337,1191.425649410646,1195.6741630437566,1199.0156220086092,1203.0983830849468,1204.9803469319688,1210.2345882947882,1213.8015495785912,1218.9368255379095,1223.1025322814503,1224.8374681649268,1227.8958356089868,1228.6189359646012,1233.3788301925722,1237.1945583087456,1240.3707970849214,1242.6700779542468,1248.4619703287453,1253.3222549629807,1259.7520134213964,1262.1738718179797,1264.409298388586,1268.6102756610235,1273.0939465457277,1277.7174558432794,1281.0790653320598,1284.6326261577908,1288.6888491174334,1292.9729527416985,1295.2623107933648,1296.9180202696732,1297.8965132628236,1300.627499304322,1304.04612796502,1309.8194501778332,1308.5005132462645,1305.2128866141184,1300.674068598612,1300.4549795126838,1302.2379371523036,1306.9756718997075,1313.920930818264,1321.0448483711496,1330.1570034529525,1340.6275043098294,1352.103677765185,1361.8175516575159,1376.513173413675,1394.803489023632,1418.162758852722,1442.5380736915681,1469.3267880596427,1494.3023069279266,1515.4707678145805,1534.1667229503548,1551.3900991212101,1565.8746086564245,1578.4126442535385,1588.675910540485,1603.2481337194126,1617.440094223166,1634.471923084762,1644.5995368221188,1648.20257206798,1647.1420655593035,1643.5827450829631,1643.512406094005,1644.7565104529997,1647.939711044469,1650.7489420715876,1657.0499852393136,1655.9330193325106,1656.0903492037373,1649.7136394708136,1649.9384232120392,1648.6727360141904,1649.4991745430787,1650.2017536301744,1651.458397021091,1650.797113437975,1650.234489824222,1647.6542672689975,1644.8359966746502,1642.8286304327235,1642.4091402233362,1643.7743868691177,1644.2877841924399,1645.4791595853922,1645.2743723021374,1646.3593744654972,1645.2242970554883,1645.0775947928244,1644.8908994709973,1646.8374479280294,1649.294371730026,1651.1277712662047,1650.740311866774,1650.9601191254224,1649.7316324607002,1649.5001597143987,1649.9349213403002,1649.6953558803104,1649.9396063724068,1649.7988760166247,1649.018680763591,1647.3682089756987,1644.5378592547602
394692,5,"Houston, TX",msa,TX,1199.6713060487423,1202.1559959128165,1206.8107883292992,1209.4394541013023,1211.1241555465447,1213.1182941254854,1215.3414600590454,1219.1192058508432,1220.3777665468094,1221.7941633953808,1223.2069607730787,1224.1334860116822,1226.154152179514,1226.165845696743,1228.1327140519809,1226.9597917699255,1224.9617386679718,1223.7730803646207,1224.5051318941796,1225.8120226734181,1223.444015510916,1222.0230389861908,1218.7390536851892,1219.1369893460335,1220.6950985892809,1226.256367465212,1231.2893844725425,1232.3768858851195,1235.980313325881,1235.489227989158,1237.0888555441934,1236.2181780011335,1246.516596846677,1256.178629231569,1267.6424500206908,1274.0752540633794,1277.8636369586227,1282.5504730246673,1281.5154710997779,1284.9963024855106,1283.5885461545627,1286.6112178708638,1287.6254934197725,1290.4154534427462,1290.659273215193,1292.3938747898796,1294.9361072231877,1295.2307965242837,1296.2711675974083,1293.5816925931586,1297.3235243453123,1300.2379604253258,1305.8096063677096,1309.7888614440678,1313.8583121915358,1317.6232426911445,1318.6630654920923,1318.8520161504996,1318.1332089994396,1321.0827661209703,1324.6954797743933,1330.1041030146584,1335.6736121635445,1331.826345292342,1323.8527956028975,1316.1344315309386,1316.2599478913673,1319.3482586449989,1322.985168264915,1328.5197597620884,1334.4145201297329,1338.7138295307143,1344.8416559384232,1347.804646161003,1354.6053605653542,1365.237305333738,1382.7230545885677,1403.4966824805479,1422.2860797121998,1441.4792767848846,1457.6658745416644,1470.1891110443528,1480.4772352714622,1489.9249180525092,1498.315528634589,1508.4055629439877,1515.9322992098505,1526.6469662860154,1532.9775058370662,1540.6060197697307,1545.2146470247058,1548.424769091883,1550.444700437843,1551.8464315245885,1553.3213927575541,1556.9235113752452,1561.6440553067673,1568.0515816495888,1575.6095733450932,1577.989908690719,1581.5314755407755,1583.1496563706066,1585.0091750850609,1584.5454971404415,1583.0617462153728,1584.189699751541,1586.7159479221048,1590.151880939121,1593.2843744150969,1595.627973722146,1594.875488415401,1597.4668781796026,1600.9577035160482,1607.750402207362,1609.4069090707508,1612.4259590872896,1614.665469486312,1618.3307331236115,1620.0531233920956,1620.6073932380743,1620.914954036008,1622.7558383361331,1626.0808151796475,1626.2855143789463,1625.4621555356712,1622.2248369921733,1622.9500280058342,1623.4644666498218,1624.7595830995142,1623.3439289417715,1622.1427647239486,1620.3568546535762,1618.1142485999223,1614.1137183023047,1609.7651824097259
395209,6,"Washington, DC",msa,VA,1685.1848083443292,1690.2271394068182,1694.4272146422966,1696.4931833407218,1698.667239122195,1700.0490780685102,1701.65557691097,1701.8860180920778,1706.5628222160824,1710.7619888970578,1716.877703271009,1719.522215543363,1722.106641480726,1722.3523749385122,1723.5549365387224,1724.4548678052734,1726.6659899077858,1728.300522672442,1731.3499649680023,1735.895357991313,1737.7807414311708,1740.5964548174125,1741.6766751762348,1745.590388312797,1749.8229509141584,1757.668423131579,1763.143033526961,1767.8599610503845,1768.9819691872092,1772.533594716147,1774.3765748641183,1776.534312529317,1780.5276247686127,1784.2304208003368,1786.8702012922315,1788.3989850230573,1790.8522057625005,1793.1764302302713,1797.7483994401528,1802.2188707760793,1807.7282593089778,1812.5597245024526,1817.4790802820705,1824.3318317552878,1825.7136825294533,1831.7199496594426,1839.0098326196887,1847.7236696266111,1850.861136051334,1854.4324125191492,1857.9471340231987,1862.1141444949615,1867.0647715418477,1871.5495865608077,1876.5409161533382,1879.6223989357036,1886.4723955451366,1889.701969518843,1892.7550542252552,1894.7690631781131,1900.5783184843424,1905.4560706237498,1914.5886801369118,1909.7719716310899,1901.3293332581957,1887.8248217028188,1879.5856532320354,1873.2384782785834,1866.1548316963713,1860.4297466055311,1855.159354605054,1853.8723592103327,1858.9517957871867,1864.8732848989953,1869.2143365531224,1878.0481184104115,1895.7497001958943,1922.7856784992716,1948.1479689460614,1974.0034159616694,1997.108500786185,2020.7599509446145,2039.569386132152,2054.2214678501773,2061.5064708503264,2070.306066945619,2079.766146836358,2095.7021792055184,2108.7241705047795,2121.5422631106335,2132.075103676287,2138.3587794408704,2144.0721272720734,2143.281960538634,2146.252648804814,2149.773445425684,2157.6945865047114,2166.3784977012992,2179.4984964923647,2185.863480309354,2192.3288729792034,2192.6853488787497,2199.330366376193,2206.7285788422428,2215.486983252602,2226.4864961489616,2236.057995499524,2243.91828390152,2250.079249572442,2257.1554344034616,2263.2066372447794,2272.293611239635,2282.6124570870707,2295.3936705758683,2306.063960114265,2314.0573508852053,2320.6500605014858,2326.350013800838,2333.1269445248927,2339.447736120026,2347.1951309332558,2352.5120323641004,2357.264951313765,2359.5003690001913,2360.2811866310003,2361.147235621781,2360.2601807596316,2361.069386325068,2361.514658266392,2361.847408387279,2360.3294091790285,2358.858812191176,2355.2755075661717,2351.699330906126,2346.928710141152
394974,7,"Philadelphia, PA",msa,PA,1188.761376936737,1192.1574906183264,1198.4377497111236,1200.9551723380555,1203.7208340568086,1204.5226824708373,1207.9464494224978,1210.4894618384792,1214.0791081603356,1216.9904869421014,1217.5794978217357,1219.0347395072645,1219.3746436076478,1223.4720734141201,1225.435787536469,1229.6333459298367,1232.9348510008065,1238.9426946107963,1241.7633446616362,1244.7689402205192,1245.94907015168,1248.5769885021612,1253.612163699767,1257.9525634040442,1262.2226639073613,1264.5677180828568,1268.0626647982158,1271.1745443874797,1273.421214370758,1273.5970029838677,1276.1043861521216,1279.6076381706564,1284.5603431720253,1288.3627520915154,1290.8929082244465,1296.0519506720402,1298.885352438266,1303.2600243579025,1306.3896103310062,1309.9717986770147,1314.8262135374628,1317.3719764769487,1320.3683564855485,1323.4324656673941,1327.8965966708365,1333.6826909073907,1340.284641283416,1343.9046494084303,1348.7877258036995,1350.5634687688944,1355.4301680512958,1359.8398442116656,1363.938682834342,1370.4221250190308,1376.0383573920187,1381.1561338708188,1384.878300494699,1387.9141470937773,1390.6144934199751,1394.5265979586804,1398.7996444133403,1405.0877835886151,1411.0526876865736,1411.7043355061041,1409.2467377421412,1407.5662807321537,1411.382106288686,1413.7544292889586,1418.6113720496262,1422.795870811518,1428.0305592080738,1432.513514752806,1439.0987057828193,1445.5947670593948,1451.0088060509304,1462.131535740468,1478.6133117418758,1495.868719331904,1510.6922246024594,1527.09000714504,1540.4832979038492,1555.843124411415,1569.8302308996856,1588.4377709729397,1600.7222763869331,1610.9743235705857,1618.3324551232351,1627.8362860015804,1636.0294064610505,1645.7701749777934,1653.4951992773852,1658.7166958390148,1662.8770284329864,1664.1732569477679,1667.7810849510377,1668.8578669816316,1674.708194389269,1677.6582861075244,1687.0051333626973,1692.5755873866563,1699.4652508453498,1700.3971742531296,1703.8692763227198,1709.354249030685,1717.062902390197,1723.6801158192275,1727.3682526827972,1729.24952265709,1732.6873629148959,1740.1310993708996,1747.5821292626651,1754.8023619205728,1759.9090775114319,1765.4512983543443,1767.4649623642315,1771.3911134144055,1775.238140633246,1782.7899743878447,1790.4640441721485,1798.8308900816903,1805.4141168012495,1807.8682947976326,1809.2618128156591,1812.3229706274549,1816.321977159446,1822.479009618527,1830.5303155822166,1836.4531401826189,1841.5093690260287,1844.6015985082147,1848.4662293377614,1852.9599155148821,1857.1915059171895,1863.2309259365675,1868.832651986005
394856,8,"Miami, FL",msa,FL,1469.872229968642,1478.2550459679035,1485.7479940892788,1493.1205815319106,1500.3773905411117,1507.3582542973893,1513.9933484083467,1520.4390851080536,1528.3615428519454,1534.5607241100918,1543.1586171136955,1549.456999960139,1555.3207930853791,1558.5042602371732,1561.078912913561,1563.3874227300519,1563.1396434109417,1563.5829480941115,1564.1190161233626,1565.610489799325,1567.647800889157,1569.186742706479,1572.1645769022289,1573.7025177045723,1579.9297107469317,1585.0650518539699,1593.577262165975,1596.625128223632,1599.5648144153595,1602.4988535073528,1606.7386343571366,1612.6701884396223,1617.0637617817786,1620.4160150778423,1620.1866273155456,1622.8494663742786,1626.843615353795,1632.0817962356177,1636.2560662620908,1641.1157144462536,1645.622195197562,1651.0265776476058,1655.5657843861118,1661.1080147963457,1664.5159304999581,1668.6443768941604,1672.5407809286087,1678.0269869985589,1680.3656126090298,1682.305665232554,1683.8310216313462,1687.7719203415597,1692.746744353168,1697.0561958703213,1701.555253728307,1704.4015213474775,1709.6643025152161,1715.190960441216,1722.5033028844746,1727.7585284273443,1734.120577194505,1740.7971190333474,1743.6210919456296,1739.9549307875761,1733.3148330265053,1731.0614597717806,1731.4060786451166,1733.63891047595,1737.8617140516747,1750.3227378876313,1766.2725141087717,1782.2846732036335,1801.4103376419341,1827.2417804873517,1857.1019923647366,1891.525182230658,1930.9773549849224,1979.1506892189007,2038.0035050822223,2099.19384235958,2155.855706180603,2199.63840407474,2243.6169704655654,2291.276735045713,2337.2398893457535,2374.263287475235,2410.0815535443226,2449.31810120568,2486.7769880483925,2511.388604075957,2524.211684697889,2528.9109880721703,2535.5282475970143,2542.060054236516,2550.328120466311,2557.6061223559973,2563.044452577706,2567.794357336609,2571.6053638526887,2574.664518592771,2578.088255010649,2579.378127705413,2579.1608889636304,2582.0070456023877,2585.880698855575,2595.865889199113,2600.236889213053,2599.8793360586196,2601.599446274179,2607.278635128894,2613.6695480545573,2618.029710271635,2619.694416796792,2623.4069430260406,2628.1057785561984,2633.298636927882,2639.1754145508107,2641.4384346796405,2643.0701635634446,2645.7968530446406,2649.604404858953,2651.85899539911,2651.4210025118364,2651.972235592269,2653.595929225587,2656.0471958547546,2659.5158281988324,2661.7461975105684,2661.828696777592,2661.3075073699506,2662.7932011891176,2665.034572200088,2665.2264611143883,2664.516516326485,2665.174338661885
394347,9,"Atlanta, GA",msa,GA,994.8544864696574,999.3372927629144,1002.0047390570141,1007.8921055400638,1011.666620989533,1018.294800240439,1022.0887295415478,1026.770039131615,1031.5571237385532,1036.8415647660056,1040.9983949176406,1046.2275807807823,1051.275001067223,1056.9449328214885,1061.8118442232485,1064.8288269344519,1069.2095665811648,1073.58360154577,1080.1669513057677,1086.1034472006822,1091.1384173476652,1096.7806301116052,1101.0746046845172,1105.6796716313518,1110.2917404501654,1116.5767168485474,1124.049039280403,1131.257546593789,1138.537634946388,1144.917353909374,1152.1249788863188,1157.6974370067073,1164.6453263071328,1166.692471117857,1172.8821132771554,1176.91000299608,1184.8497816684835,1190.7139957592258,1196.8476872113413,1203.1234057059564,1209.0176807280218,1214.6737669180657,1220.0730841135814,1224.6673706246424,1228.8938311267405,1239.5931343909224,1249.4804931305482,1258.4703511812397,1263.4194057103248,1268.1483002421103,1273.5441915843378,1279.1846968207171,1284.8199905990184,1290.9634907653056,1296.3815125224176,1303.2758830826642,1309.7703501580863,1313.3126255789946,1315.4873875516507,1319.213233942475,1323.8633279884054,1329.1582396730785,1336.0684274720331,1338.8381635180779,1340.0192179206715,1341.85897504519,1349.5629075804989,1358.1260905164265,1366.905023699639,1377.3390586888243,1390.4361308960881,1405.3873742822482,1423.7101998288856,1442.6760124417146,1459.203155219114,1478.8018182025585,1500.9564998494766,1531.1550659598604,1560.1662341225315,1593.2241845140475,1623.0636348291655,1649.3326062214974,1667.8290380010824,1679.5139302254372,1687.902282039547,1693.6247977300172,1702.4161488328887,1712.5548161735717,1726.387573250726,1737.5323384196606,1747.781337733652,1751.979625930613,1753.5710800490547,1752.9583780565877,1754.6535339588297,1760.9510452916873,1763.1354907416717,1766.446910187739,1773.0158559965437,1777.3337286307344,1778.360049634349,1771.483819705627,1767.471239303941,1762.302055614649,1759.0589027597832,1756.4688406139019,1756.1352864815478,1756.8188065256793,1761.3276060888122,1766.5910491331688,1766.993915577398,1767.9841440392752,1769.3167803649635,1773.0643890926003,1772.573069415671,1771.0687736277202,1771.7279147762001,1774.0370346316336,1777.5510144680306,1779.9880831947369,1783.7288003576607,1789.972036578414,1794.3427256397263,1796.485812999177,1798.595053146318,1802.3422834071475,1807.731085316849,1814.9987667786968,1819.7676614294621,1822.95614575102,1823.3805586396245,1822.940722785999,1820.10296097516,1814.423145532487,1811.3570402502407
