RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
102001,0,United States,country,,1134.9343124233528,1140.1128528608508,1145.7695120987203,1150.3929607071834,1154.5102406968208,1158.3744317554617,1162.7590334625743,1167.6462040159993,1172.76201118403,1177.7493835808543,1182.4643920243047,1186.77849547483,1190.272221125826,1193.2383211641654,1195.0842357299368,1198.38814485417,1201.9034762512774,1206.4840758138928,1210.0694670404187,1213.8590987610353,1217.3483289704366,1221.0569959978109,1224.2982102886542,1227.4662974433688,1232.0356002490626,1237.3812308640902,1243.9547478495338,1248.7527019161287,1253.397225095634,1257.1075379262697,1261.0017712103322,1264.3175987074994,1268.8243803852881,1272.5546472983517,1277.0046249375323,1281.3753238409238,1286.1978522447998,1291.0819219719115,1295.0934050706896,1299.3149677028036,1302.8271078448465,1307.0567957090364,1311.515082005836,1316.4153964817667,1320.425244863155,1325.4364526935203,1330.8730659509615,1336.2559843391673,1340.1891156178394,1343.45211497332,1347.5129283796996,1352.0645511072892,1357.2680427912426,1362.1906143232397,1367.0605637264725,1371.832380500659,1376.770978902055,1381.2909508400646,1385.2558643042862,1389.3723587435754,1394.178662301732,1399.3795291057843,1403.6122374853799,1401.7946846888153,1397.9595802217084,1394.6464161765666,1395.4948144640716,1395.9216838199784,1396.8445761113412,1400.282316469911,1405.7478291754583,1412.89152026341,1422.5297468148897,1432.9383215545545,1444.4942647400228,1459.217464181909,1478.4527590907073,1500.9925946519056,1524.1568072743628,1549.2338014820302,1574.2600183710576,1595.70015600281,1614.0594595435894,1630.21119857728,1643.7138803438313,1657.0899356235382,1668.2351714204522,1682.9823117250994,1696.1149621196464,1709.6588374250111,1719.6241950284102,1726.807226085982,1731.8551156521746,1735.8863211857058,1740.3113930322193,1745.612858702989,1750.8915606505254,1756.023839162626,1763.2096595427101,1768.0064276883218,1772.877577294637,1773.7464103263221,1777.1236425996303,1780.6032730496047,1784.5919343512026,1789.1900953415682,1793.5529030207697,1798.523729103277,1803.6427610756937,1808.4946986732589,1812.3155890456048,1816.4297311967457,1820.9191575255122,1826.1566340451895,1830.9197970339603,1835.0499811263956,1839.1853257322246,1843.0611914525314,1848.29007010503,1852.6852796938506,1857.6622988581626,1861.699343348522,1865.6490645911374,1869.1863795273368,1872.1325634842115,1875.8517847388541,1879.0367895656427,1882.740159092731,1886.1913747683673,1889.4215919021187,1891.3005156663053,1892.9754623953554,1893.7946091391889,1895.0814292256794
394913,1,"New York, NY",msa,NY,2144.2997970129686,2158.616587478217,2171.459528197875,2180.3647661931495,2183.9776505060277,2187.813653654888,2192.639117929762,2200.7323182567366,2208.680667618898,2216.331501087296,2220.1907771717642,2224.8269554082153,2228.0260395394725,2231.3436666427874,2232.2895515951636,2233.978549553344,2237.173216258528,2241.296005254049,2247.261406892713,2250.0389364025746,2254.2828009450304,2258.5059156998086,2267.6580171679407,2270.817856626725,2273.6737688814655,2273.4199370795077,2277.217910116063,2280.0786138629546,2285.196187617958,2287.8794912659573,2290.9085027098104,2292.078998916406,2295.1728627022367,2294.785163104586,2295.116991031561,2297.200175842404,2302.2512948413378,2307.1074085625805,2311.625854008508,2318.6586064532703,2323.5429706093537,2327.6753531904114,2331.898884263852,2339.1984663639914,2345.564149751528,2350.2842974103473,2356.868146686037,2362.485953429777,2368.7541983955075,2374.687796910408,2380.6470159861788,2385.344394789504,2390.733210386282,2397.958754729625,2404.8668223454674,2411.1357078154083,2417.216284700016,2426.555088297805,2433.551900459697,2441.9547046909615,2448.8468755479453,2457.0911378394185,2448.828784916369,2433.4847208484366,2407.0042166896,2374.0484677975837,2341.337622681301,2299.7329083614836,2262.319174227059,2238.267593827128,2226.346640979741,2225.605242723728,2229.1967823654363,2236.7549868832825,2247.3385400710545,2264.416592819962,2292.6384969025867,2329.4508798035154,2374.883265020707,2429.5712657359686,2485.77984702668,2535.6705264320058,2580.239837149624,2616.9705247861452,2647.961970074005,2674.5703544812177,2700.3349814342555,2726.8068403169505,2755.3123888236773,2785.3834518440954,2812.4795363439657,2833.6121721347063,2847.399526892236,2855.832486668889,2859.5773460488194,2863.886854468899,2871.53937844462,2881.555148721871,2893.913884657644,2909.6526269192746,2923.646250841197,2931.163255132987,2935.7487185849814,2941.127034785621,2952.107428252024,2961.0736110867692,2970.1245630995318,2979.822796931397,2993.3169914878517,3006.646063832159,3019.072131707425,3028.910397578515,3038.590798398184,3045.479293034378,3047.9258830950607,3050.3704418754282,3055.55038674167,3066.215262222013,3084.2277884846585,3100.448224264299,3117.4277507152547,3127.793152796619,3138.18295241566,3147.7412217297365,3156.780002722843,3170.0485815044485,3188.1654489329785,3206.3729324823385,3220.646908664158,3232.438198453703,3239.022060646188,3246.3282520228204,3250.123100326536,3258.384199753898
753899,2,"Los Angeles, CA",msa,CA,1750.771649363314,1759.9122356388339,1771.141247959841,1781.4269732000253,1789.6700415841638,1797.5488832985106,1806.8284746670956,1817.7879862389807,1830.1317096624778,1840.482941845057,1852.2784678631374,1863.9833215531605,1874.7631103904155,1882.2035121198937,1887.8046137893305,1894.1260954465188,1902.8739393307235,1912.7296945306377,1922.6214476806388,1930.0542200247849,1937.9475880456046,1945.3869377243884,1953.1714000974778,1960.7271668116412,1972.994613880683,1986.2490344556616,2002.5624203865445,2013.0884796328585,2022.3624621929464,2029.0503843206334,2036.870901982903,2043.55726925956,2051.7957064033412,2058.454264595048,2067.1615723062787,2075.3675202249083,2085.033064052936,2095.4798437429813,2100.5875179083505,2106.6231391871306,2110.914683484536,2120.25659059352,2128.524435906462,2138.374872012944,2145.652416060907,2155.0211881736914,2163.791704493473,2172.1532195258665,2176.0766911652922,2179.664311499776,2186.104872232754,2194.505703057284,2204.242920098954,2210.889591950101,2217.4659055766692,2223.6042035867076,2230.512039254493,2236.502715686674,2241.588337675653,2247.123761719183,2254.2219936830606,2260.8995213874223,2256.5177592878927,2248.0905937363523,2239.606060408249,2231.8120593390013,2227.4687485216755,2220.9322070063267,2219.191040812916,2223.2304270856052,2230.4948917031456,2236.0444010954952,2246.936197478538,2257.717120250506,2271.1450957338684,2284.0416007905105,2303.0733566923304,2332.164709625794,2367.7710141349453,2410.6734507566653,2447.852261236091,2478.2083316391745,2501.581802754123,2527.706646569721,2549.7073700969136,2574.0943984492164,2595.270221701725,2624.0893078268296,2646.645205495449,2664.1522454963324,2672.7532638193406,2678.064609504807,2682.7879159100676,2686.34935616709,2693.444224586961,2697.6619783947654,2699.795382359365,2701.828128154016,2708.960656446907,2717.549066902874,2724.1610311829413,2726.5277749377174,2732.327564559069,2737.3648062308584,2741.5028614490557,2746.708005863278,2749.3232141127073,2755.565115106624,2758.763283618096,2763.654570267472,2765.3851884412643,2772.7949473524677,2780.330664745597,2788.620341680787,2796.9187780351112,2802.9143131067976,2809.9371294111093,2814.8849802748678,2821.41565753218,2826.5142197671216,2842.3385870300986,2855.980010197545,2864.8748511230506,2866.2836198676246,2868.8739538207924,2872.9310574206,2876.1798233673094,2881.2206591964655,2885.3491477756843,2890.0565901113446,2893.264430662545,2895.1855459272933,2889.783696589229,2884.124774777187
394463,3,"Chicago, IL",msa,IL,1360.5897267184673,1362.2262736095115,1366.3740396608678,1370.5551213402184,1374.9386846090656,1378.200731148979,1380.9150377752171,1384.7028956676359,1387.9722611632692,1392.5066701876483,1396.8014152241424,1402.2188735252475,1406.3483327932893,1409.0490031897325,1411.1318526493274,1412.0774174133194,1413.9878257445016,1416.4762841718673,1421.2966487048452,1427.1798278369465,1429.958951916617,1432.8651993144244,1432.4614024829145,1432.1458330020437,1433.7323812381858,1439.5608979199744,1447.4657247566663,1453.2175518141514,1457.5010106652694,1459.0381562132977,1460.3295931608677,1459.896470045831,1464.2283309500372,1466.231287828896,1470.6160293839284,1473.7602338201114,1477.5262369963439,1481.1465127650079,1482.2316900038843,1484.4471017777169,1486.7723546584523,1491.8165218449008,1496.1646704243922,1498.7456706267749,1498.9084339011993,1500.3111018058294,1504.4402353173002,1511.5178373993813,1515.472941336878,1517.8379411407834,1520.8565695439765,1524.3469615943452,1528.3623470802745,1531.567156946839,1535.0693495876865,1540.5919414052094,1546.3540502272674,1552.2975330181462,1555.7020513854927,1557.454592973512,1561.0594268597984,1565.2481893623717,1569.5431508782012,1561.4664271602783,1552.3752859003089,1544.8157773094458,1542.4666783820242,1540.5712808952464,1536.1699152195667,1530.5456664143796,1527.0562095378425,1527.9691365563456,1529.0620252476924,1533.5892738115872,1539.5409166597135,1554.189353897943,1570.0184070185117,1587.5999162651594,1602.4293109679365,1617.101135620871,1633.4500614749425,1647.8758773378731,1662.7068639553497,1676.1776190422645,1689.135283322161,1699.277616243863,1709.6483734471108,1721.9800611516932,1734.9695171269345,1745.8044313455669,1756.9665305723738,1766.7830894485778,1777.5184463578864,1788.3241191431712,1797.673340640352,1805.9388670242881,1813.7743685764187,1823.1785870578242,1832.5231127944603,1839.4775888286022,1848.6558903963964,1856.8697802750096,1865.4324993471582,1874.5744130053197,1881.2124908530773,1888.3842618379038,1895.2592112164568,1905.28270676013,1914.3593989610595,1922.610995310255,1929.0591137277636,1936.6308348498617,1942.4299173604036,1949.6526024569425,1956.6139475035568,1964.606374080786,1973.843898257964,1985.3538589245236,1997.2362446363322,2008.1540590382024,2015.6960604799192,2024.370758770671,2035.6232049142932,2046.216754047896,2056.703708580761,2066.8513886004316,2076.9330881051355,2086.0540457220254,2095.051429009964,2101.8483641678004,2108.683636882236,2114.818938654042,2124.019297324663,2132.285103756572
394514,4,"Dallas, TX",msa,TX,1044.0339885997657,1047.541479457214,1051.2986439942183,1057.4533333546647,1061.8061250932628,1066.6570679359934,1071.1099239833911,1075.4721971332356,1080.3640358213488,1084.4890324481219,1089.7909823913938,1094.9037167225265,1098.5928101513105,1103.1086579868079,1106.6057902464752,1111.746094957667,1114.9155609597635,1119.0817042786366,1122.6336106707838,1127.5539439763718,1131.7811583108733,1137.183712932837,1140.2715638150316,1144.2904986676024,1150.164588558753,1154.891603381135,1162.1088773941833,1165.6089432915721,1173.1755425422396,1176.3482572951655,1180.6600997623916,1183.858263205826,1187.961669022497,1189.884390358423,1195.0682676989825,1198.5509240434164,1203.591674141675,1207.680260513376,1209.3335741634758,1212.4310774887563,1213.1553325891612,1217.9189505219758,1221.541082105383,1224.7203827051496,1227.048613556204,1232.810848009622,1237.646502285386,1243.9713499724485,1246.3564936331077,1248.5185900971874,1252.7504160535598,1257.1605604465838,1261.7284522687328,1264.9930959445956,1268.578189664911,1272.6062535176877,1276.8159568354326,1279.048700727008,1280.7013716906745,1281.7059501649246,1284.4792642477196,1287.945636926481,1293.7226307815563,1292.343716181921,1288.835476065695,1284.3660546791255,1284.0943638856074,1286.0047520765079,1290.7355513514685,1297.6297460872167,1304.4927013373494,1313.4839980457693,1323.6713731002305,1334.9315475158705,1344.3743738067756,1358.9596503372536,1377.264909766453,1400.4361884792322,1424.596636271393,1450.9621610852562,1475.7068142866806,1496.5784248416417,1515.154954879359,1532.2185390756122,1546.6462498689932,1559.0553979900144,1569.1487508507084,1583.4290645734911,1597.4010393468661,1614.1586335583925,1624.2723708768879,1627.8955446625562,1627.0606973752424,1623.6746275857818,1623.679660070351,1624.8094563578675,1627.9110524539847,1630.5869750268703,1636.5912132832777,1635.4648214707274,1635.8685890141944,1629.6800209301846,1630.0685669251648,1628.956671800259,1629.6139940084304,1630.4242738509272,1631.6606087477264,1631.3406412750076,1630.9129996364704,1628.1932585361692,1625.0538566401465,1622.8126924246449,1622.7695521050102,1623.9733865102833,1624.8600411388245,1626.1711856837203,1626.023953030159,1627.1908527347632,1626.3917675089617,1626.43926835571,1626.4914238698534,1629.1553182457199,1630.0475210440889,1632.156441349566,1631.49043436739,1631.9482610392888,1630.5863600181176,1630.4895582594359,1631.2845295220436,1631.345591302767,1631.8498560291969,1632.0276579682563,1631.7016846552915,1630.3725705029492
394692,5,"Houston, TX",msa,TX,1201.8168173982879,1204.3516533269935,1208.8954972491492,1211.5645876995018,1213.124284610189,1215.2510028606398,1217.3514615172462,1221.1714448233581,1222.3957304081614,1223.8841239521664,1225.2873743489154,1226.2480480460404,1228.0982503137013,1228.0294419753398,1230.0582958729515,1229.1392649241475,1227.2412556873119,1225.9073054336634,1226.5422817303397,1227.8216650279192,1225.509420522838,1224.1428019045547,1220.8011692974744,1221.150588844494,1222.734854298118,1228.3304868895625,1233.384902562157,1234.2887017379023,1237.818117236706,1237.3327943097563,1239.1121056684178,1238.30942956504,1248.5533797966718,1258.205450572471,1269.7200158299006,1276.3166928625978,1280.147647653856,1284.8530853817556,1283.7120721100002,1287.2248850362075,1285.8235872702192,1288.8976601131396,1289.950152847545,1292.7413054707617,1292.9914207626882,1294.6838405062233,1297.2196194458895,1297.4234357952087,1298.5104208953314,1295.7454814515006,1299.5704957276696,1302.5245269820248,1308.143702428887,1312.1442611082427,1316.1634674877964,1319.9497520295722,1321.0600155500895,1321.340177141579,1320.6899509954485,1323.7258377987232,1327.3776550416246,1332.9372680203078,1338.5198455356747,1334.5589883677474,1326.5145100410912,1318.6558607457305,1318.7658979655557,1321.7245740891403,1325.3930865835275,1330.9530773134406,1336.9471679072344,1341.252087144412,1347.2796093723157,1350.0782080424779,1356.8976367046798,1367.5905997292962,1385.2377283670505,1406.1310420543648,1425.1214869549278,1444.408839804649,1460.8144681805256,1473.3762485929856,1483.6490888577475,1492.9795889458064,1501.2672676094003,1511.5842421829107,1519.0116950902984,1529.8278027877184,1536.0575512445812,1543.7129283995139,1548.347043971842,1551.5802854308843,1553.5185104392565,1554.9872827679067,1556.4746830561226,1560.2451682229564,1565.0585514098261,1571.3521009611588,1578.9542864090197,1581.3165229439055,1584.972439711738,1586.6763316400913,1588.5048114186152,1588.2614779975431,1586.816753293771,1587.9872957806035,1590.5228179840112,1593.983300575524,1597.2255711712799,1599.5321267486972,1598.1817374443415,1600.8676617519845,1604.594542846721,1611.6063882157182,1613.4772377068905,1616.5216185765682,1618.7972647617005,1622.6546554664899,1624.6176390084167,1625.3466110611369,1625.840689918822,1628.332185774738,1630.339501307076,1630.5484292917797,1629.6130894783385,1626.3077673186988,1627.0700680652706,1627.691521886701,1629.2341076886596,1627.966434789785,1626.952910888598,1625.4186860205884,1623.445480074013,1619.5244699196417
395209,6,"Washington, DC",msa,VA,1670.20200155295,1675.026480739441,1679.3704912222868,1681.4425256509014,1683.6113250664353,1684.866917466225,1686.394596167417,1686.5612532719354,1691.1790562334222,1695.5262487580412,1701.4745112081046,1704.0563542329746,1706.4292249492835,1706.8527500021107,1707.9669665275476,1708.9155646855554,1711.089445976797,1712.8359035340527,1715.8658188635736,1720.4190383164198,1722.328425576705,1725.1022656499977,1726.314356232099,1730.2575503090857,1734.4830494831597,1742.112733040423,1747.463505727237,1752.120570896337,1753.2472105437514,1756.6550102368487,1758.587232576891,1760.6500895334395,1764.4643450186275,1768.0468651130643,1770.5701749481568,1772.2599886598755,1774.617760232161,1776.9454550315643,1781.505061454889,1785.9604126507327,1791.4371312737776,1796.2098931487917,1800.9452654283152,1807.7758235572524,1809.0826378217944,1815.065246790507,1822.3251979320505,1831.0234111427762,1834.161332542678,1837.628232186671,1841.1275342616934,1845.223460790194,1850.1008063278684,1854.5779551430778,1859.5689020722175,1862.6067758450765,1869.4882404691227,1872.6889610308199,1875.6888859597634,1877.5210605865375,1883.2707199490212,1888.152096604582,1897.5004001826364,1892.5568062936395,1884.0289605865696,1870.3416557404557,1862.0382126933782,1855.79224646777,1848.8104116505508,1843.2954581647364,1837.9670328091784,1836.7940662681094,1841.5661440526771,1847.4302772723884,1851.6234726725388,1860.5674813939727,1878.198340967276,1904.9799827551387,1930.2000624089787,1955.6318494346465,1978.4794713251906,2001.8204406970133,2020.6313685504572,2035.2916872055569,2042.6177694942003,2051.360601560461,2060.628714553599,2076.301180428418,2089.1541076002786,2102.0606974030534,2112.5374124549103,2118.844848924983,2124.4467009914356,2123.675669852399,2126.417666042967,2129.762956934945,2137.821347105652,2146.5695200304203,2159.5019966669274,2165.613448936586,2172.0277231227533,2172.4212904630253,2179.0945015384095,2186.703115261933,2195.348933760532,2206.123630939355,2215.545263119378,2223.5140979581065,2229.4592080053403,2236.414467742534,2242.0621513730784,2251.2980937013945,2261.425248715173,2274.113167775258,2284.727095466805,2292.8627817533365,2299.6457525146348,2305.6030700872157,2312.424554962477,2318.7071787341624,2326.314850672141,2331.7550045600847,2335.675449118266,2337.9087699239794,2338.8571875332004,2339.749669558501,2338.9240666668297,2339.5773453858023,2340.048127493991,2340.4227646966388,2339.152477081856,2337.899191577486,2334.743479384684,2331.413621679168
394974,7,"Philadelphia, PA",msa,PA,1185.6536741730865,1188.8681909930071,1195.6226214199069,1198.0878085951902,1201.0179692942168,1201.5442714000158,1204.864177768571,1207.321847854692,1210.967730109514,1213.8771333898467,1214.4736091750822,1216.0128733071945,1216.381506665294,1220.9502919169124,1222.7160877368551,1226.9442681778853,1229.919114477828,1236.0496438736066,1238.9367923399623,1241.9091094330772,1243.1330148304548,1245.7779635571915,1250.793683083146,1254.968657420525,1259.0751354771387,1261.3335916552705,1264.9122234713473,1268.0558785372327,1270.2926528429002,1270.353679408821,1272.7601800248333,1276.2559202653802,1281.198238892001,1284.9887101946083,1287.5532931368648,1292.8259236765014,1295.898859745535,1299.947709473055,1302.9445939088873,1306.4142013024782,1311.5608323180702,1314.2089362486593,1317.2466883135862,1320.235246006589,1324.478484273007,1330.2184223911388,1336.6831832482487,1340.3132228922016,1345.1250907277974,1347.1105618421218,1352.0378863003637,1356.4929376289306,1360.414806813462,1366.8438739705527,1372.4550555262915,1377.6391827246784,1381.5280872779629,1384.610608383918,1387.4169320986207,1391.3159063691185,1395.5839246408739,1401.909347929073,1407.6578401872193,1408.3097660739847,1405.7652381893226,1403.9367698053088,1407.8078599177086,1410.2408011810537,1415.1308955119314,1419.1919323427928,1424.2644821278623,1428.869915362759,1435.5209692187943,1442.0861021303704,1447.3027128921494,1458.3256052509253,1474.6787731077543,1491.946277142811,1506.7488757027054,1523.1430120580028,1536.4751762029205,1551.6221335582354,1565.6214193966434,1584.3009452202737,1596.6210707476025,1606.9606697665688,1614.4021897634204,1624.0709650851088,1632.1148384497187,1641.7412443876262,1649.3056628032712,1654.614595048885,1658.753001423187,1660.2295167951804,1663.8865861219795,1664.7587343161945,1670.4146934369462,1673.0939734438548,1682.81787800362,1688.435891704283,1695.522460879422,1696.5587405168694,1700.202396564351,1705.6023976672354,1713.420598660189,1719.9951795953898,1723.468957167629,1725.1549086702523,1728.541009865022,1735.8404136199072,1743.3378398754046,1750.3936068157134,1755.6650646891756,1761.3257741900422,1763.6192371139837,1767.6489032895593,1771.551019396441,1779.0542232853502,1787.0718997474405,1795.2620522954903,1802.239054697663,1804.7252252686278,1806.3525443189317,1809.533242884431,1813.3923515369274,1819.4653056351194,1827.2640601518897,1833.1170676230079,1838.035400419223,1841.0678951956866,1844.6286153451624,1849.2141247068819,1852.9684979900155,1858.8106246974312
394856,8,"Miami, FL",msa,FL,1462.9171141423171,1471.3868740217333,1478.919379762613,1486.2529694881057,1493.4489386352825,1500.3762021577047,1506.983424390989,1513.4065026127482,1521.322444937761,1527.4636953040824,1536.1214268753542,1542.297513225345,1548.1152746717007,1551.227336634399,1553.7768384456865,1556.1151142130768,1555.8470618329877,1556.289782119428,1556.8697307663197,1558.3769342360197,1560.3518870753778,1561.9147299874805,1564.8318430621068,1566.4631571570767,1572.593358082326,1577.7187260110659,1586.158570871026,1589.20416033009,1592.0566773438889,1595.0082594712278,1599.2609262702167,1605.144285247618,1609.5535197433721,1612.877348395577,1612.801113355313,1615.3777936008541,1619.3358370771584,1624.5996483799893,1628.8394144415738,1633.7366463627257,1638.1274335698815,1643.5218484984293,1648.0143645375706,1653.5937893900455,1656.916112918142,1660.9664537865553,1664.8599775210364,1670.44622184039,1672.8638920401854,1674.6522988156378,1676.138375136332,1680.0181104666776,1685.1028610959404,1689.386625280996,1693.880051888041,1696.6934901561012,1702.0024533034575,1707.5784000423785,1714.80719463408,1719.9931496483887,1726.3151221118906,1733.0857052071408,1735.8942380806805,1731.9974503898864,1725.3613953907427,1723.1993994663114,1723.6880969202075,1726.067345595821,1730.3013362376919,1742.7873566580618,1758.6134114314857,1774.4680867800453,1793.2501089493014,1818.9968172377153,1848.7320503718647,1883.405385147432,1922.71783714397,1970.8927763527872,2029.3722195110006,2090.122207384403,2146.3573195555805,2190.047672484304,2233.888267414268,2281.5027491272854,2327.2929546471782,2364.4106977947054,2400.110486145917,2439.056237248328,2475.985140546309,2500.326430849846,2513.1359492696133,2518.189419069642,2524.956337476685,2531.2517158992223,2539.3434095405937,2546.4144900706956,2552.215753798806,2556.8896089139644,2560.785016733941,2563.520840760999,2567.231381299849,2568.754531575166,2568.7741296169415,2571.5227759462778,2575.5091443852853,2585.523366263625,2590.2116764009247,2589.810111530429,2591.1929106181374,2596.7143956222408,2603.4449951572306,2607.9603475535446,2609.332318804765,2613.0086973738858,2617.8371799800575,2623.2406808673745,2629.075623668886,2631.354429504097,2633.1016376430803,2635.9822077839963,2639.9717171412135,2641.847383692107,2642.2753772989654,2642.99165039314,2644.8530789722945,2647.2823965627076,2650.5300370702894,2652.5332729391043,2652.4844190183267,2651.855969961844,2652.9693652624956,2654.9368099709977,2654.811162198023,2654.1438680133983
394347,9,"Atlanta, GA",msa,GA,988.4044044700411,992.944513927181,995.5677901987214,1001.3413800312164,1005.0642664696356,1011.7207171527826,1015.5077615013322,1020.1902833470152,1024.8422230405026,1030.074061667303,1034.2724021033332,1039.5009680055657,1044.4308046375988,1050.0872301000225,1054.8653565273055,1057.9958965466683,1062.3225439750659,1066.6709375574662,1073.1750224373488,1079.0501914439842,1084.149195902035,1089.7070610473095,1093.9938667979848,1098.4584676037398,1103.134958298445,1109.3312921955667,1116.8101399255866,1123.8312352431,1131.0877811273451,1137.4225192680642,1144.7025533907724,1150.1835727398102,1157.063744217189,1159.1041833422746,1165.2915658288423,1169.3810427011,1177.2262568678764,1182.8924755476974,1188.9965931178006,1195.2648780744992,1201.2877899087641,1206.88265292584,1212.3317906706916,1217.0551774250248,1221.2896073099741,1231.8752427405366,1241.6221823384317,1250.5985725655225,1255.5868886530118,1260.3834576944755,1265.7482633619281,1271.401468808543,1276.8925914375818,1283.0473521609565,1288.3414507766443,1295.1330122961235,1301.5886002367135,1305.1916043210738,1307.4252681985172,1311.1087981463468,1315.7136011614582,1321.0253235374394,1327.933283618733,1330.4808374361573,1331.6400863175952,1333.3821415319105,1341.1769659936788,1349.7088425116046,1358.4579839340258,1368.821062261907,1381.779046396495,1396.5895965376685,1414.7780751067166,1433.6996133433702,1450.2112586181404,1469.771613906688,1491.8412948667826,1521.8385051989808,1550.846947975519,1583.517567475845,1613.4236441628148,1639.534863152652,1658.3369401879936,1669.9519695926106,1678.2153234536827,1683.5745000995194,1692.3042488290855,1702.4389801871873,1716.2979965481861,1727.3896993657297,1737.4901194537692,1741.6433892066634,1743.1496728223356,1742.5551580692386,1744.191022073111,1750.4511910180154,1752.8746848959609,1756.3814339253497,1762.76659439643,1766.7426183961895,1767.7371288851843,1761.2010005241896,1757.601906592099,1752.747375616902,1749.6288898584685,1747.078679807373,1746.757114002698,1747.5608805465693,1752.0930016036377,1757.553379218246,1757.259427302619,1758.140507113624,1759.4650949361758,1763.1310107745715,1762.762772619817,1761.5020515020426,1762.497601803853,1764.9848376611199,1768.9385127028538,1771.7680187381159,1775.9335261578872,1782.5741639031476,1785.3332561082095,1787.5647609288299,1789.620694978131,1793.3603215243081,1798.6991795695792,1805.982868642999,1810.9000907518164,1814.5021995777724,1815.2770059436066,1815.302540893708,1813.0284917605288,1807.9933149144365
